char,char_raw,exp1_full_count,exp1_full_sub,exp1_full_del,exp1_full_cer,exp3_10x_count,exp3_10x_sub,exp3_10x_del,exp3_10x_cer,delta_cer
'&',&,1,0,1,100.0,1,0,1,100.0,0.0
'#',#,5,3,2,100.0,5,1,2,60.0,-40.0
'Q',Q,3,2,0,66.67,3,2,0,66.67,0.0
'6',6,15,8,1,60.0,15,5,2,46.67,-13.33
':',:,29,9,7,55.17,29,8,4,41.38,-13.79
'K',K,19,9,1,52.63,19,7,1,42.11,-10.53
'4',4,16,6,2,50.0,16,7,1,50.0,0.0
'1',1,70,20,10,42.86,70,18,11,41.43,-1.43
'5',5,12,4,1,41.67,12,5,0,41.67,0.0
';',;,60,24,1,41.67,60,12,1,21.67,-20.0
'!',!,47,15,3,38.3,47,10,2,25.53,-12.77
'0',0,34,12,1,38.24,34,8,1,26.47,-11.76
'U',U,11,3,1,36.36,11,2,0,18.18,-18.18
'R',R,67,20,4,35.82,67,12,2,20.9,-14.93
'z',z,45,13,3,35.56,45,16,2,40.0,4.44
'O',O,61,19,2,34.43,61,18,1,31.15,-3.28
'2',2,32,10,1,34.38,32,8,0,25.0,-9.38
'L',L,123,37,4,33.33,123,28,2,24.39,-8.94
'S',S,241,68,11,32.78,241,58,7,26.97,-5.81
'(',(,49,2,14,32.65,49,4,10,28.57,-4.08
'3',3,28,8,1,32.14,28,5,2,25.0,-7.14
'W',W,122,39,0,31.97,122,25,0,20.49,-11.48
"""'""",',429,48,87,31.47,429,58,79,31.93,0.47
'J',J,65,13,7,30.77,65,16,3,29.23,-1.54
'V',V,24,7,0,29.17,24,6,1,29.17,0.0
'F',F,84,21,3,28.57,84,17,0,20.24,-8.33
"'""'","""",576,97,59,27.08,576,61,42,17.88,-9.2
'k',k,726,172,13,25.48,726,134,11,19.97,-5.51
'D',D,92,21,2,25.0,92,23,1,26.09,1.09
'Y',Y,61,15,0,24.59,61,12,1,21.31,-3.28
'G',G,157,36,1,23.57,157,33,1,21.66,-1.91
'-',-,362,36,49,23.48,362,34,44,21.55,-1.93
'.',.,1326,61,250,23.45,1326,52,138,14.33,-9.13
'C',C,141,26,7,23.4,141,23,2,17.73,-5.67
'M',M,150,31,3,22.67,150,35,3,25.33,2.67
'?',?,94,16,4,21.28,94,13,2,15.96,-5.32
')',),48,6,4,20.83,48,7,1,16.67,-4.17
'A',A,208,36,7,20.67,208,32,9,19.71,-0.96
'N',N,64,12,1,20.31,64,9,0,14.06,-6.25
'T',T,358,54,6,16.76,358,46,6,14.53,-2.23
'H',H,196,31,1,16.33,196,29,0,14.8,-1.53
'j',j,98,16,0,16.33,98,9,0,9.18,-7.14
'E',E,82,13,0,15.85,82,11,0,13.41,-2.44
'x',x,175,23,4,15.43,175,24,1,14.29,-1.14
'I',I,306,26,18,14.38,306,29,20,16.01,1.63
'u',u,2816,326,70,14.06,2816,337,51,13.78,-0.28
'r',r,5678,564,233,14.04,5678,493,187,11.98,-2.06
'B',B,195,23,2,12.82,195,20,3,11.79,-1.03
'7',7,8,1,0,12.5,8,2,0,25.0,12.5
'9',9,16,1,1,12.5,16,4,2,37.5,25.0
'P',P,109,9,4,11.93,109,11,3,12.84,0.92
'm',m,2183,235,24,11.86,2183,195,13,9.53,-2.34
'v',v,961,89,23,11.65,961,100,22,12.7,1.04
'c',c,2327,129,99,9.8,2327,132,65,8.47,-1.33
'b',b,1466,129,12,9.62,1466,131,16,10.03,0.41
's',s,5988,361,159,8.68,5988,405,126,8.87,0.18
'q',q,82,6,1,8.54,82,10,0,12.2,3.66
"','",",",1331,41,70,8.34,1331,31,70,7.59,-0.75
'a',a,7826,555,95,8.31,7826,539,77,7.87,-0.43
'w',w,2262,162,24,8.22,2262,175,15,8.4,0.18
'l',l,3972,225,63,7.25,3972,221,66,7.23,-0.03
'o',o,7389,411,123,7.23,7389,381,80,6.24,-0.99
'n',n,6573,352,115,7.1,6573,408,88,7.55,0.44
'f',f,2124,129,16,6.83,2124,106,22,6.03,-0.8
'h',h,5804,336,57,6.77,5804,270,58,5.65,-1.12
'i',i,6321,246,142,6.14,6321,183,87,4.27,-1.87
'g',g,2026,101,12,5.58,2026,76,14,4.44,-1.14
'y',y,1848,88,15,5.57,1848,93,11,5.63,0.05
't',t,8617,348,121,5.44,8617,323,100,4.91,-0.53
'd',d,4090,155,42,4.82,4090,117,17,3.28,-1.54
'e',e,12029,364,179,4.51,12029,290,144,3.61,-0.91
'p',p,1632,57,14,4.35,1632,56,8,3.92,-0.43
' ', ,23016,105,770,3.8,23016,84,603,2.98,-0.82
'*',*,2,0,0,0.0,2,0,0,0.0,0.0
'8',8,12,0,0,0.0,12,0,0,0.0,0.0
'+',+,0,0,0,0.0,0,0,0,0.0,0.0
'X',X,0,0,0,0.0,0,0,0,0.0,0.0
'Z',Z,0,0,0,0.0,0,0,0,0.0,0.0
'/',/,0,0,0,0.0,0,0,0,0.0,0.0
