Character,Category,Count,Frequency(%)
space,Space,48629,17.291
e,Lowercase,28050,9.974
t,Lowercase,19796,7.039
a,Lowercase,17620,6.265
o,Lowercase,16008,5.692
n,Lowercase,15562,5.533
i,Lowercase,15237,5.418
r,Lowercase,13869,4.931
s,Lowercase,13752,4.89
h,Lowercase,11938,4.245
l,Lowercase,8850,3.147
d,Lowercase,8249,2.933
c,Lowercase,5905,2.1
u,Lowercase,5642,2.006
m,Lowercase,5294,1.882
f,Lowercase,4806,1.709
p,Lowercase,4166,1.481
g,Lowercase,4017,1.428
y,Lowercase,3998,1.422
w,Lowercase,3948,1.404
b,Lowercase,3324,1.182
.,Punctuation,3108,1.105
",",Punctuation,2655,0.944
v,Lowercase,2241,0.797
k,Lowercase,1285,0.457
-,Punctuation,776,0.276
T,Uppercase,767,0.273
',Punctuation,764,0.272
M,Uppercase,760,0.27
I,Uppercase,708,0.252
A,Uppercase,651,0.231
"""",Punctuation,598,0.213
S,Uppercase,497,0.177
P,Uppercase,465,0.165
H,Uppercase,452,0.161
B,Uppercase,452,0.161
C,Uppercase,429,0.153
W,Uppercase,425,0.151
N,Uppercase,390,0.139
G,Uppercase,379,0.135
x,Lowercase,353,0.126
R,Uppercase,353,0.126
E,Uppercase,318,0.113
L,Uppercase,315,0.112
F,Uppercase,285,0.101
0,Digit,263,0.094
D,Uppercase,255,0.091
1,Digit,237,0.084
j,Lowercase,228,0.081
O,Uppercase,191,0.068
q,Lowercase,176,0.063
U,Uppercase,119,0.042
K,Uppercase,105,0.037
!,Punctuation,105,0.037
3,Digit,99,0.035
9,Digit,97,0.034
(,Punctuation,95,0.034
z,Lowercase,95,0.034
),Punctuation,93,0.033
:,Punctuation,91,0.032
V,Uppercase,90,0.032
;,Punctuation,84,0.03
5,Digit,80,0.028
2,Digit,77,0.027
J,Uppercase,76,0.027
8,Digit,75,0.027
Y,Uppercase,69,0.025
4,Digit,67,0.024
6,Digit,65,0.023
?,Punctuation,63,0.022
#,Punctuation,52,0.018
&,Punctuation,38,0.014
7,Digit,30,0.011
/,Punctuation,16,0.006
*,Punctuation,8,0.003
X,Uppercase,7,0.002
Q,Uppercase,7,0.002
Z,Uppercase,4,0.001
+,Punctuation,2,0.001
