epoch,loss,val_cer,val_wer,lr
1,10.4522,93.59,100.00,3.00e-04
2,3.1654,94.64,100.00,3.00e-04
3,3.1331,95.04,99.72,3.00e-04
4,3.1014,93.20,99.36,3.00e-04
5,3.0874,90.22,98.15,3.00e-04
6,3.0773,97.19,95.65,3.00e-04
7,3.0815,86.12,98.56,3.00e-04
8,3.0724,87.21,96.48,3.00e-04
9,3.0637,88.50,97.90,3.00e-04
10,3.0969,96.06,100.00,3.00e-04
11,3.0974,89.24,96.26,3.00e-04
12,3.0611,88.22,97.33,3.00e-04
13,3.0473,90.08,97.56,3.00e-04
14,3.0520,89.13,98.93,3.00e-04
15,3.0557,95.65,95.93,3.00e-04
16,3.0567,94.54,95.51,3.00e-04
17,3.0413,89.57,96.06,3.00e-04
18,3.0230,93.60,95.92,2.40e-04
19,3.0283,95.93,95.46,2.40e-04
20,3.0049,89.09,96.19,2.40e-04
21,2.9800,95.65,95.47,2.40e-04
22,2.9646,94.29,100.00,2.40e-04
23,2.9486,98.98,95.46,2.40e-04
24,2.9752,88.70,96.42,2.40e-04
25,2.9386,88.14,98.26,2.40e-04
26,2.9309,94.19,96.42,2.40e-04
27,2.9326,85.94,97.38,2.40e-04
28,2.9248,89.00,99.90,2.40e-04
29,2.9280,82.90,99.61,2.40e-04
30,3.1041,90.51,98.84,2.40e-04
31,2.9763,87.19,99.38,2.40e-04
32,2.9010,87.20,97.25,2.40e-04
33,2.8946,77.34,107.26,2.40e-04
34,2.8879,82.63,98.37,2.40e-04
35,2.8814,87.69,99.18,2.40e-04
36,2.8905,82.55,96.60,2.40e-04
37,2.8693,81.13,102.19,2.40e-04
38,3.0555,94.70,95.49,2.40e-04
1,8.8623,100.00,100.00,3.00e-04
2,3.1630,100.00,100.00,3.00e-04
3,2.8077,82.82,99.74,3.00e-04
4,2.1835,53.18,89.01,3.00e-04
5,1.4979,33.54,77.93,3.00e-04
6,1.0910,22.55,62.15,3.00e-04
7,0.9334,22.46,62.52,3.00e-04
8,0.8047,14.87,46.06,3.00e-04
9,0.7302,13.72,42.61,3.00e-04
10,0.6649,11.38,36.71,3.00e-04
11,0.6220,11.13,36.79,3.00e-04
12,0.5800,10.32,34.46,3.00e-04
13,0.5541,11.18,36.91,3.00e-04
14,0.5260,10.74,34.43,3.00e-04
15,0.5031,9.44,32.33,3.00e-04
16,0.4745,9.95,33.76,3.00e-04
17,0.4482,9.52,32.00,3.00e-04
18,0.4292,9.18,31.25,3.00e-04
19,0.4274,10.45,35.81,3.00e-04
20,0.3938,8.59,28.81,3.00e-04
21,0.3937,8.38,29.02,3.00e-04
22,0.3738,8.30,29.17,3.00e-04
23,0.3719,7.35,25.61,3.00e-04
24,0.3608,7.95,27.16,3.00e-04
25,0.3572,7.21,25.34,3.00e-04
26,0.3449,9.27,31.79,3.00e-04
27,0.3257,7.64,26.42,3.00e-04
28,0.3227,6.83,24.18,3.00e-04
29,0.3030,7.08,24.39,3.00e-04
30,0.3273,13.67,40.37,3.00e-04
31,0.3319,7.58,25.65,3.00e-04
32,0.3046,11.38,36.91,3.00e-04
33,0.3044,7.42,25.09,3.00e-04
34,0.2732,7.27,25.17,3.00e-04
35,0.2833,7.83,26.64,3.00e-04
36,0.2773,7.19,24.43,3.00e-04
37,0.2615,6.93,24.00,3.00e-04
38,0.2767,8.09,26.97,3.00e-04
39,0.2487,6.74,23.54,3.00e-04
40,0.2526,7.64,25.79,3.00e-04
41,0.2477,7.49,25.60,3.00e-04
42,0.2517,6.83,23.46,3.00e-04
43,0.2313,7.81,26.88,3.00e-04
44,0.2465,6.90,23.69,3.00e-04
45,0.2391,7.33,24.52,3.00e-04
46,0.2293,6.45,22.33,3.00e-04
47,0.2308,6.48,22.55,3.00e-04
48,0.2276,6.05,21.49,3.00e-04
49,0.2126,7.79,26.09,3.00e-04
50,0.2163,6.62,23.07,3.00e-04
51,0.2184,6.67,22.94,3.00e-04
52,0.2042,6.94,23.87,3.00e-04
53,0.2079,6.30,21.87,3.00e-04
54,0.2210,8.02,26.53,3.00e-04
55,0.2087,6.96,23.28,3.00e-04
56,0.2140,6.95,23.27,3.00e-04
57,0.2015,6.56,22.62,3.00e-04
58,0.2062,6.82,23.54,3.00e-04
59,0.1976,7.92,26.30,2.40e-04
60,0.2149,6.15,21.33,2.40e-04
61,0.1988,6.03,20.87,2.40e-04
62,0.1986,6.45,21.90,2.40e-04
63,0.1813,6.23,21.18,2.40e-04
64,0.1822,6.54,22.98,2.40e-04
65,0.1765,6.21,21.64,2.40e-04
66,0.1727,6.27,21.78,2.40e-04
67,0.1855,6.98,23.79,2.40e-04
68,0.1741,7.50,23.38,2.40e-04
69,0.1827,6.24,21.46,2.40e-04
70,0.1752,7.07,23.24,2.40e-04
71,0.1717,6.27,21.90,2.40e-04
72,0.1707,6.14,21.15,1.92e-04
73,0.1677,6.18,21.73,1.92e-04
74,0.1657,6.00,20.96,1.92e-04
75,0.1642,6.07,21.01,1.92e-04
76,0.1599,6.16,20.96,1.92e-04
77,0.1619,6.16,21.22,1.92e-04
78,0.1596,6.82,22.76,1.92e-04
79,0.1580,6.08,21.10,1.92e-04
80,0.1740,6.26,21.64,1.92e-04
81,0.1561,5.98,20.60,1.92e-04
82,0.1623,6.20,21.25,1.92e-04
83,0.1527,7.08,23.54,1.92e-04
84,0.1608,6.03,20.76,1.92e-04
85,0.1438,5.75,20.08,1.92e-04
