epoch,loss,val_cer,val_wer,lr
1,10.6746,97.65,100.0,3.00e-04
2,3.2238,93.12,100.0,3.00e-04
3,3.1686,98.17,100.0,3.00e-04
4,3.1554,100.0,100.0,3.00e-04
5,3.1358,97.65,99.82,3.00e-04
6,3.1286,99.88,100.0,3.00e-04
7,3.1189,100.0,100.0,3.00e-04
8,3.1152,95.86,100.0,3.00e-04
9,3.1051,97.5,99.46,3.00e-04
10,3.0946,96.57,97.79,3.00e-04
11,3.0911,96.38,95.74,3.00e-04
12,3.0926,97.44,97.9,3.00e-04
13,3.0758,89.89,99.35,3.00e-04
14,3.0152,82.43,99.8,3.00e-04
15,2.9707,93.18,96.54,3.00e-04
16,2.9057,95.88,96.07,3.00e-04
17,2.6909,81.15,96.83,3.00e-04
18,2.4077,95.57,95.68,3.00e-04
19,2.1691,69.26,97.1,3.00e-04
20,1.8816,47.21,84.21,3.00e-04
21,1.5491,40.3,84.71,3.00e-04
22,1.2509,29.42,69.65,3.00e-04
23,1.0921,31.94,76.5,3.00e-04
24,0.9473,19.71,53.53,3.00e-04
25,0.8507,25.49,68.5,3.00e-04
26,0.8138,18.33,51.12,3.00e-04
27,0.7316,17.0,47.16,3.00e-04
28,0.68,15.47,44.7,3.00e-04
29,0.661,13.09,41.7,3.00e-04
30,0.609,15.87,52.48,3.00e-04
31,0.5955,13.02,43.77,3.00e-04
32,0.5615,13.3,42.36,3.00e-04
33,0.5676,12.68,35.9,3.00e-04
34,0.5169,9.83,33.31,3.00e-04
35,0.5086,10.15,34.02,3.00e-04
36,0.4769,9.58,32.67,3.00e-04
37,0.4642,9.25,32.69,3.00e-04
38,0.4966,10.75,37.53,3.00e-04
39,0.4476,9.28,31.44,3.00e-04
40,0.4203,8.45,29.52,3.00e-04
41,0.4214,8.42,28.3,3.00e-04
42,0.3994,11.06,37.73,3.00e-04
43,0.3896,8.63,29.1,3.00e-04
44,0.3916,8.93,30.19,3.00e-04
45,0.3612,8.27,28.4,3.00e-04
46,0.3577,8.59,29.1,3.00e-04
47,0.3549,9.04,30.37,3.00e-04
48,0.3447,8.29,28.5,3.00e-04
49,0.3404,9.16,32.17,3.00e-04
